Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltB,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,FQtyL,FQtyR,E1 FFlow,E1 FPres,E1 OilT,E1 OilP,E1 MAP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas
2025-01-28,15:57:24,,,35.057186,-118.152008,,29.92,0,,,0,,,,,,,180,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:07:58,,,35.057453,-118.152412,,29.92,0,,,0,,,,,,,30,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:08:06,,,35.057629,-118.152153,,29.92,0,,,7,,,,,,,75,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:08:16,,,35.057636,-118.151695,,29.92,0,,,8,,,,,,,90,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:08:28,,,35.057652,-118.151093,,29.92,0,,,11,,,,,,,90,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:08:36,,,35.05764,-118.15052,,29.92,0,,,13,,,,,,,90,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:08:43,,,35.05764,-118.150063,,29.92,0,,,14,,,,,,,92,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:08:53,,,35.057636,-118.149246,,29.92,0,,,15,,,,,,,90,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:08:55,,,35.057629,-118.149033,,29.92,0,,,15,,,,,,,95,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:08:58,,,35.057583,-118.148788,,29.92,0,,,14,,,,,,,109,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:09:05,,,35.057304,-118.148376,,29.92,0,,,15,,,,,,,137,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:09:08,,,35.057098,-118.148148,,29.92,0,,,15,,,,,,,135,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:09:13,,,35.056858,-118.147842,,29.92,0,,,16,,,,,,,135,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
